NO.	EQUIPMENT TYPE	MAKE	MODEL	HEAD NUMBER	PLATE NO.	ASSET NO.	NEW ASSET NO.	CHANSIS NO.	ENGINE 		CAPACITY	YEAR OF MANUFACT.	CURRENT LOCATION 	Driver /Operator/ Name 	Remark
									MODEL	NUMBER					
1	DUMP TRUCK	IVECO	380E31H	4	3-15794ET	VEH 01-04	HV-DT-0080	380E1HC-013062	8210-22V	420768		1995	Gelan		U/MAINTENANCE 
2	DUMP TRUCK	IVECO	MP380E31H	5	3-20917ET	VEH 01-05	HV-DT-0012	WJME3TNSOOCO13087	8210-22V	422612		1995	Gelan		U/MAINTENANCE 
3	DUMP TRUCK	NISSAN	CWB450HDL	18	3-19970ET	VEH 01-18	HV-DT-0100	CW450H-03318	PF6T-11-CWL	PF6-120482T			Gelan		U/MAINTENANCE 
4	DUMP TRUCK	NISSAN	CWB450HDL	20	3-19968ET	VEH 01-20	HV-DT-0004	CW450H-03321	PF6T-11-CWL	PF6-120484T		2003			SOLD OUT To Moges
5	DUMP TRUCK	NISSAN	CWB450HDL	23	3-19972ET	VEH 01-23	HV-DT-0042	CW450H-03353	PF6T-11-CWL	PF6-120488T		2003	Gelan		U/MAINTENANCE 
6	DUMP TRUCK	NISSAN	CWB450HDLT	27	3-13309ET	VEH 01-27	HV-DT-0079	CW450H-03366	PF6T-11-CWL	PF6-120793T		2003	AIRLINES 		
7	DUMP TRUCK	NISSAN	CWB450DHLT	30	3-13313ET	VEH 01-30	HV-DT-0025	CW450H-03567	PF6T-11-CWL	PF6-120797T		2003	Gelan		U/MAINTENANCE 
8	DUMP TRUCK	NISSAN	CWB450HDL	31	3-13315ET	VEH 01-31	HV-DT-0087	CW450H-04276	PF6T-11-CW-L	PF6-121793T		2003	JIHUR		
9	DUMP TRUCK	NISSAN	CWB450HDL	32	3-26613ET	VEH 01-32	HV-DT-0027	CW450H-04276	PF6T11CW-L	PF6-12197T	12M3	2004	Gelan		
10	DUMP TRUCK	NISSAN	CWB450HDL	33	3-26614ET	VEH 01-33	HV-DT-0096	CW450H-04284	PF6T-11-CWL	PF6-121985T		2004	AIRLINES 		U/MAINTENANCE 
11	DUMP TRUCK	NISSAN	CWB450HDL	34	3-26615ET	VEH 01-34	HV-DT-0015	CW450H-04287	PF6T-11-CWL	PF6-121991T		2004	JIHUR		
12	DUMP TRUCK	NISSAN	CWB450HDL	35	3-26616ET	VEH 01-35	HV-DT-0084	CW450H-04283	PF6T-11-CWL	PF6-121983T		2004	Qilinto		
13	DUMP TRUCK	NISSAN	CWB450HDL	36	3-26617ET	VEH 01-36	HV-DT-0005	CW450H-04285	PF6T-11-CWL	  CANIBALIZ FOR 3-35869		2004	Gelan		DOWN
14	DUMP TRUCK	NISSAN	CWB450HDL	37	3-26618ET	VEH 01-37	HV-DT-0088	CW450H-04281	PF6T-11-CWL	PF6-121980T	12M3	2004	Gelan		U/MAINTENANCE 
15	DUMP TRUCK	NISSAN	CWB450HDL	38	3-26619ET	VEH 01-38	HV-DT-0031	CW450H-04275	PF6T-11-CWL	PF6-121972T	12M3	2004	Gelan		U/MAINTENANCE 
16	DUMP TRUCK	NISSAN	CWB450HDL	39	3-26620ET	VEH 01-39	HV-DT-0102	CW450H-04278	PF6T11CW-L	PF6-121976T		2004	AIRLINES 		
17	DUMP TRUCK	NISSAN	CWB450HDL	40	3-26621ET	VEH 01-40	HV-DT-0076	CW450H-04288	PF6T11CW-L	PF6-121996T		2004	JIHUR		
18	DUMP TRUCK	NISSAN	CWB450HDL	41	3-26622ET	VEH 01-41	HV-DT-0044	CW450H-04289	PF6T-11-CWL	PF6-121997T	12M3	2004	AIRLINES 		
19	DUMP TRUCK	NISSAN	CWB450PHLT	42	3-28224ET	VEH 01-42	HV-DT-0094	CW450H-050228	PF6T11CW-L	PF6-123003T	12M3	2005	JIHUR		
20	DUMP TRUCK	NISSAN	CWB450PHLT	43	3-28225ET	VEH 01-43	HV-DT-0026	CW450H-05019	PF6T11CW-L	PF6-122990T	12M3	2005	Gelan		
21	DUMP TRUCK	NISSAN	CWB450PHLT	44	3-28226ET	VEH 01-44	HV-DT-0045	CW450H-05013	PF6T11CW-L	PF6-122984T	12M3	2005	Gelan		
22	DUMP TRUCK	NISSAN	CWB450PHLT	45	3-28227ET	VEH 01-45	HV-DT-0035	CW450H-04979	PF6T11CW-L	PF6-122951T	12M3	2005	Gelan		
23	DUMP TRUCK	NISSAN	CWB450PHLT	46	3-28228ET	VEH 01-46	HV-DT-0002	CW450H-05008	PF6T11CW-L	PF6-122978T	 	2005	Gelan		
24	DUMP TRUCK	NISSAN	CWB450HDL	47	3-28229ET	VEH 01-47	HV-DT-0097	CWB450H-05020	PF6T11CW-L	PF6-122992T	                                                                          +-	2005	AIRLINES 		U/MAINTENANCE 
25	DUMP TRUCK	NISSAN	CWB450PHLT	48	3-28230ET	VEH 01-48	HV-DT-0036	CWB450H-05034	PF6T11CW-L	PF6-123011T	12M3	2005	JIHUR		
26	DUMP TRUCK	NISSAN	CWB450PHLT	49	3-28231ET	VEH 01-49	HV-DT-0043	CWB450H-04987	PF6T11CW-L	PF6-122959T		2005	Gelan		
